,0,1,2,3,4,5,6,7,8,9
0,178,0,0,0,0,0,0,0,0,0
1,0,181,0,0,0,0,0,0,1,0
2,0,1,175,0,0,0,0,1,0,0
3,0,0,6,169,0,1,0,2,2,3
4,0,1,0,0,177,0,0,0,0,3
5,0,1,0,0,0,178,0,0,0,3
6,0,1,0,0,2,0,178,0,0,0
7,0,0,0,0,0,5,0,163,3,8
8,0,8,0,0,0,2,0,0,161,3
9,0,1,0,0,1,2,0,0,1,175
